pos,token_id,token_str,logp_noimg,logp_img_naive,logp_img_fixed,delta_naive,delta_fixed
71,1576,"The",-0.448044,-10.854132,-0.895250,-10.406087,-0.447205
72,1746,"field",-0.601895,-8.991442,-0.953969,-8.389547,-0.352074
73,338,"is",-0.330520,-4.774981,-0.717064,-4.444461,-0.386544
74,22047,"surrounded",-1.936961,-8.945489,-1.401294,-7.008528,0.535667
75,491,"by",-0.000023,-6.239407,-0.000713,-6.239384,-0.000690
76,10697,"trees",-2.329762,-10.877410,-0.843124,-8.547648,1.486638
77,29892,",",-0.078630,-4.855523,-0.249625,-4.776893,-0.170995
78,13138,"providing",-0.660743,-13.400913,-1.150837,-12.740170,-0.490095
79,263,"a",-0.009888,-3.772580,-0.106553,-3.762691,-0.096665
80,724,"ser",-1.469196,-7.973217,-1.122293,-6.504020,0.346903
81,1600,"ene",-0.000001,-13.961500,-0.000155,-13.961500,-0.000154
82,322,"and",-0.009132,-4.782591,-0.261309,-4.773459,-0.252177
83,5613,"natural",-0.114846,-11.235475,-0.531281,-11.120628,-0.416435
84,4444,"setting",-0.670917,-12.053642,-0.869291,-11.382725,-0.198374
85,363,"for",-0.014658,-6.035338,-0.138203,-6.020680,-0.123545
86,1009,"their",-0.543974,-13.675319,-0.525151,-13.131345,0.018823
87,6686,"walk",-0.130264,-12.861468,-0.387859,-12.731204,-0.257595
88,29889,".",-0.000066,-4.366872,-0.006476,-4.366806,-0.006410
89,450,"The",-0.516807,-8.114331,-1.097466,-7.597524,-0.580659
90,2305,"people",-0.960560,-11.598103,-1.719157,-10.637543,-0.758598
91,526,"are",-0.796598,-6.671006,-0.527364,-5.874408,0.269234
92,19436,"carrying",-1.837117,-9.700441,-0.878909,-7.863325,0.958208
93,1250,"back",-0.241344,-11.452466,-0.910962,-11.211122,-0.669619
94,4058,"pack",-0.000040,-14.786592,-0.000320,-14.786552,-0.000280
95,29879,"s",-0.000002,-8.909020,-0.000048,-8.909018,-0.000045
96,29892,",",-0.094570,-4.845071,-0.210529,-4.750501,-0.115959
97,607,"which",-0.960191,-5.438946,-1.249415,-4.478755,-0.289223
98,14661,"suggests",-0.904769,-9.947907,-1.430598,-9.043137,-0.525828
99,896,"they",-0.834782,-7.029363,-0.446651,-6.194581,0.388131
100,1795,"might",-0.912031,-7.150146,-0.467092,-6.238115,0.444940
101,367,"be",-0.006526,-8.470308,-0.038657,-8.463782,-0.032131
102,373,"on",-0.157527,-4.612852,-0.569552,-4.455325,-0.412025
103,263,"a",-0.042850,-3.987242,-0.243322,-3.944392,-0.200473
104,7251,"hi",-0.997643,-9.196665,-1.371944,-8.199022,-0.374302
105,446,"ke",-0.000001,-12.584313,-0.000008,-12.584312,-0.000006
106,470,"or",-0.005681,-6.084339,-0.064663,-6.078658,-0.058982
107,263,"a",-0.384495,-3.699929,-1.209370,-3.315433,-0.824875
108,2462,"day",-0.545454,-4.282772,-1.262039,-3.737318,-0.716584
109,17487,"trip",-0.012558,-11.059967,-0.165021,-11.047410,-0.152463
110,29889,".",-0.555127,-4.036624,-0.939479,-3.481498,-0.384352
111,450,"The",-0.871595,-9.776086,-0.990086,-8.904491,-0.118491
112,12463,"overall",-0.525634,-12.133337,-1.525593,-11.607704,-0.999960
113,25005,"atmosphere",-0.035009,-9.400986,-0.116216,-9.365977,-0.081207
114,310,"of",-0.111750,-5.925452,-0.763381,-5.813701,-0.651631
115,278,"the",-0.000003,-3.855549,-0.002321,-3.855546,-0.002318
116,9088,"scene",-3.394310,-9.527250,-0.531526,-6.132939,2.862785
117,338,"is",-0.030297,-5.203864,-0.220104,-5.173567,-0.189806
118,697,"one",-0.110949,-6.254020,-0.819886,-6.143070,-0.708936
119,310,"of",-0.000003,-5.982932,-0.000100,-5.982929,-0.000097
120,22722,"happiness",-0.293809,-10.763823,-1.126763,-10.470014,-0.832954
121,322,"and",-0.065841,-4.847043,-0.152295,-4.781202,-0.086454
122,3996,"tog",-0.238781,-16.956306,-0.375384,-16.717525,-0.136603
123,621,"eth",-0.000002,-12.812115,-0.000010,-12.812113,-0.000008
124,824,"ern",-0.000005,-13.863196,-0.000008,-13.863190,-0.000003
125,404,"ess",-0.000002,-12.101523,-0.000000,-12.101521,0.000001
126,29889,".",-1.233040,-4.888002,-0.854551,-3.654962,0.378489
