rank	id	score	status	pdf	G_waste	G_cov	G_meanΔh	G_impRate	S_waste	S_cov	S_meanΔh	S_impRate
0133	401	0.056481	OK	case_401_rank_0133_delta.pdf	1.0000	0.0000	0.0705	0.2320	1.0000	0.0000	-0.0126	0.0160
0134	50	0.053208	OK	case_50_rank_0134_delta.pdf	0.8824	0.6667	-0.1001	0.2677	0.0000	0.3333	-0.0131	0.0157
0135	922	0.043676	OK	case_922_rank_0135_delta.pdf	1.0000	0.0000	-0.0666	0.2385	0.0000	0.5000	-0.1217	0.0092
0136	936	0.041736	OK	case_936_rank_0136_delta.pdf	1.0000	0.0000	0.0446	0.2373	1.0000	0.0000	-0.0369	0.0169
0137	172	0.037432	OK	case_172_rank_0137_delta.pdf	0.9355	0.1250	0.0591	0.2583	nan	0.0000	0.0357	0.0000
0138	47	0.035908	OK	case_47_rank_0138_delta.pdf	1.0000	0.0000	-0.0008	0.2162	1.0000	0.0000	-0.0047	0.0180
0139	286	0.034969	OK	case_286_rank_0139_delta.pdf	0.9231	0.3333	0.1361	0.1566	0.7500	0.3333	-0.0457	0.0482
0140	1	0.014859	OK	case_1_rank_0140_delta.pdf	0.9688	0.3333	0.0731	0.2540	1.0000	0.0000	0.0513	0.0238
0141	222	0.013057	OK	case_222_rank_0141_delta.pdf	1.0000	0.0000	-0.0133	0.1842	1.0000	0.0000	-0.0173	0.0132
0142	630	0.012605	OK	case_630_rank_0142_delta.pdf	1.0000	0.0000	-0.0253	0.2000	1.0000	0.0000	-0.0028	0.0133
0143	129	0.011326	OK	case_129_rank_0143_delta.pdf	0.9375	0.5000	0.1154	0.2388	nan	0.0000	-0.0288	0.0000
0144	864	0.005372	OK	case_864_rank_0144_delta.pdf	1.0000	0.0000	-0.1027	0.2410	0.5000	0.5000	-0.0555	0.0241
0145	122	0.002153	OK	case_122_rank_0145_delta.pdf	0.9565	0.2500	-0.0811	0.2255	0.0000	0.2500	-0.0458	0.0098
0146	838	-0.001141	OK	case_838_rank_0146_delta.pdf	0.9333	0.5000	0.1004	0.1786	nan	0.0000	-0.0436	0.0000
0147	67	-0.002537	OK	case_67_rank_0147_delta.pdf	1.0000	0.0000	-0.0028	0.2718	nan	0.0000	-0.0306	0.0000
0148	116	-0.004174	OK	case_116_rank_0148_delta.pdf	0.9091	0.4000	0.0833	0.2037	0.0000	0.2000	0.0299	0.0093
0149	341	-0.011544	OK	case_341_rank_0149_delta.pdf	1.0000	0.0000	0.0534	0.2016	1.0000	0.0000	-0.0557	0.0161
0150	980	-0.012555	OK	case_980_rank_0150_delta.pdf	1.0000	0.0000	0.0080	0.2035	1.0000	0.0000	0.0246	0.0088
0151	14	-0.015398	OK	case_14_rank_0151_delta.pdf	1.0000	0.0000	-0.0047	0.1736	0.5000	0.5000	-0.1286	0.0165
0152	350	-0.017675	OK	case_350_rank_0152_delta.pdf	1.0000	0.0000	0.0338	0.2110	1.0000	0.0000	-0.0120	0.0092
0153	199	-0.022013	OK	case_199_rank_0153_delta.pdf	0.9048	0.2857	0.0308	0.1736	0.3333	0.2857	-0.0247	0.0248
0154	312	-0.026951	OK	case_312_rank_0154_delta.pdf	1.0000	0.0000	-0.0301	0.1714	nan	0.0000	-0.0750	0.0000
0155	890	-0.028402	OK	case_890_rank_0155_delta.pdf	1.0000	0.0000	0.0504	0.1864	1.0000	0.0000	0.0389	0.0169
0156	714	-0.035641	OK	case_714_rank_0156_delta.pdf	0.9333	0.5000	-0.1061	0.1685	1.0000	0.0000	-0.0728	0.0112
0157	916	-0.036213	OK	case_916_rank_0157_delta.pdf	0.9333	0.1667	-0.0599	0.1220	0.7500	0.1667	-0.0806	0.0325
0158	868	-0.041388	OK	case_868_rank_0158_delta.pdf	0.9565	0.3333	-0.0839	0.1885	1.0000	0.0000	-0.0312	0.0082
0159	772	-0.053899	OK	case_772_rank_0159_delta.pdf	1.0000	0.0000	-0.0053	0.2389	0.0000	0.5000	-0.1116	0.0088
0160	792	-0.057759	OK	case_792_rank_0160_delta.pdf	0.9444	0.1250	-0.0423	0.1314	0.0000	0.1250	-0.0296	0.0073
0161	324	-0.068432	OK	case_324_rank_0161_delta.pdf	0.9643	0.0833	0.0229	0.2373	1.0000	0.0000	0.0118	0.0085
0162	943	-0.069680	OK	case_943_rank_0162_delta.pdf	0.9667	0.3333	-0.0985	0.2479	1.0000	0.0000	-0.0088	0.0083
0163	471	-0.070873	OK	case_471_rank_0163_delta.pdf	0.9333	0.5000	-0.1158	0.1613	nan	0.0000	-0.0307	0.0000
0164	329	-0.073637	OK	case_329_rank_0164_delta.pdf	1.0000	0.0000	-0.0157	0.2095	nan	0.0000	-0.0235	0.0000
0165	632	-0.083108	OK	case_632_rank_0165_delta.pdf	0.9375	0.1667	-0.0593	0.1739	1.0000	0.0000	-0.0350	0.0109
0166	599	-0.096936	OK	case_599_rank_0166_delta.pdf	0.9000	0.2000	-0.0067	0.2151	0.7143	0.2000	-0.0208	0.0753
0167	554	-0.097142	OK	case_554_rank_0167_delta.pdf	1.0000	0.0000	-0.0364	0.1565	1.0000	0.0000	-0.0724	0.0087
0168	986	-0.122659	OK	case_986_rank_0168_delta.pdf	1.0000	0.0000	-0.0518	0.1928	1.0000	0.0000	-0.0166	0.0361
0169	97	-0.129072	OK	case_97_rank_0169_delta.pdf	0.9643	0.3333	-0.1452	0.2393	0.0000	0.3333	-0.0733	0.0085
0170	77	-0.131257	OK	case_77_rank_0170_delta.pdf	0.9583	0.2500	-0.1440	0.2609	1.0000	0.0000	-0.0401	0.0109
0171	35	-0.132540	OK	case_35_rank_0171_delta.pdf	0.9583	0.5000	-0.1272	0.2182	0.0000	0.5000	-0.1557	0.0091
0172	468	-0.142487	OK	case_468_rank_0172_delta.pdf	0.9545	0.5000	-0.1531	0.2000	0.0000	0.5000	-0.1614	0.0091
0173	334	-0.148701	OK	case_334_rank_0173_delta.pdf	1.0000	0.0000	0.0119	0.1642	nan	0.0000	-0.0817	0.0000
0174	358	-0.177070	OK	case_358_rank_0174_delta.pdf	0.9375	1.0000	-0.0796	0.2759	0.5000	1.0000	-0.0976	0.0345
0175	896	-0.187212	OK	case_896_rank_0175_delta.pdf	0.9167	1.0000	-0.1075	0.3380	0.6667	0.5000	-0.1519	0.0423
0176	282	-0.199818	OK	case_282_rank_0176_delta.pdf	1.0000	0.0000	-0.0423	0.2045	0.0000	0.5000	-0.2090	0.0076
0177	98	-0.220615	OK	case_98_rank_0177_delta.pdf	0.9412	0.0833	-0.0171	0.2237	1.0000	0.0000	-0.0002	0.0132
0178	130	-0.241245	OK	case_130_rank_0178_delta.pdf	0.8750	0.6667	0.0729	0.2133	0.5000	0.6667	0.0218	0.0533
0179	120	-0.259067	OK	case_120_rank_0179_delta.pdf	0.9412	0.5000	-0.1347	0.2677	0.5000	0.5000	-0.1383	0.0315
0180	653	-0.262704	OK	case_653_rank_0180_delta.pdf	0.9412	0.5000	-0.2006	0.1298	1.0000	0.0000	-0.0914	0.0076
0181	106	-0.269873	OK	case_106_rank_0181_delta.pdf	1.0000	0.0000	-0.0674	0.2989	1.0000	0.0000	-0.0582	0.0115
0182	807	-0.417481	OK	case_807_rank_0182_delta.pdf	0.9444	0.5000	-0.2414	0.1607	0.5000	0.5000	-0.2059	0.0179
0183	23	-0.493376	OK	case_23_rank_0183_delta.pdf	0.9643	0.5000	-0.2415	0.2692	0.5000	0.5000	-0.2840	0.0192
