pos,token_id_img,token_id_no,token_str,logp_img,logp_noimg,delta
59,599,599,all,-5.993872,-1.097631,-4.896241
60,1560,1560,sm,-7.256682,-2.405699,-4.850984
61,6504,6504,iling,-18.174780,-0.003185,-18.171595
62,322,322,and,-3.240015,-0.020529,-3.219486
63,11418,11418,enjo,-12.950644,-2.457112,-10.493532
64,5414,5414,ying,-14.443972,-0.000002,-14.443970
65,1009,1009,their,-12.154630,-1.452468,-10.702162
66,931,931,time,-11.914032,-0.006625,-11.907407
67,4208,4208,together,-11.617785,-0.015929,-11.601856
68,29889,29889,.,-5.399176,-0.051735,-5.347442
69,13,13,\n,-1.904142,-0.851305,-1.052836
70,13,13,\n,-2.699949,-0.000577,-2.699372
71,1576,1576,The,-10.854132,-0.448042,-10.406090
72,1746,1746,field,-8.991442,-0.601893,-8.389549
73,338,338,is,-4.774981,-0.330518,-4.444463
74,22047,22047,surrounded,-8.945490,-1.936957,-7.008533
75,491,491,by,-6.239408,-0.000024,-6.239384
76,10697,10697,trees,-10.877410,-2.329760,-8.547650
77,29892,29892,,,-4.855523,-0.078630,-4.776893
78,13138,13138,providing,-13.400908,-0.660742,-12.740166
79,263,263,a,-3.772580,-0.009888,-3.762692
80,724,724,ser,-7.973217,-1.469195,-6.504022
81,1600,1600,ene,-13.961501,-0.000001,-13.961500
82,322,322,and,-4.782591,-0.009132,-4.773459
83,5613,5613,natural,-11.235471,-0.114846,-11.120625
84,4444,4444,setting,-12.053638,-0.670917,-11.382721
85,363,363,for,-6.035336,-0.014658,-6.020678
86,1009,1009,their,-13.675313,-0.543975,-13.131338
87,6686,6686,walk,-12.861463,-0.130264,-12.731199
88,29889,29889,.,-4.366867,-0.000066,-4.366801
89,450,450,The,-8.114330,-0.516805,-7.597526
90,2305,2305,people,-11.598101,-0.960554,-10.637547
91,526,526,are,-6.671006,-0.796597,-5.874409
92,19436,19436,carrying,-9.700441,-1.837112,-7.863330
93,1250,1250,back,-11.452458,-0.241341,-11.211117
94,4058,4058,pack,-14.786592,-0.000040,-14.786552
95,29879,29879,s,-8.909020,-0.000002,-8.909018
96,29892,29892,,,-4.845071,-0.094570,-4.750501
97,607,607,which,-5.438947,-0.960190,-4.478756
98,14661,14661,suggests,-9.947906,-0.904768,-9.043138
99,896,896,they,-7.029363,-0.834782,-6.194581
100,1795,1795,might,-7.150146,-0.912031,-6.238114
101,367,367,be,-8.470304,-0.006526,-8.463778
102,373,373,on,-4.612852,-0.157526,-4.455326
103,263,263,a,-3.987242,-0.042850,-3.944393
104,7251,7251,hi,-9.196665,-0.997641,-8.199024
105,446,446,ke,-12.584313,-0.000001,-12.584312
106,470,470,or,-6.084339,-0.005681,-6.078658
107,263,263,a,-3.699929,-0.384492,-3.315437
108,2462,2462,day,-4.282766,-0.545451,-3.737315
109,17487,17487,trip,-11.059964,-0.012558,-11.047407
110,29889,29889,.,-4.036621,-0.555126,-3.481494
111,450,450,The,-9.776083,-0.871593,-8.904490
112,12463,12463,overall,-12.133332,-0.525631,-11.607701
113,25005,25005,atmosphere,-9.400986,-0.035009,-9.365977
114,310,310,of,-5.925451,-0.111750,-5.813701
115,278,278,the,-3.855549,-0.000003,-3.855547
116,9088,9088,scene,-9.527250,-3.394310,-6.132940
117,338,338,is,-5.203859,-0.030297,-5.173562
118,697,697,one,-6.254020,-0.110948,-6.143071
119,310,310,of,-5.982932,-0.000003,-5.982929
120,22722,22722,happiness,-10.763823,-0.293809,-10.470014
121,322,322,and,-4.847044,-0.065841,-4.781203
122,3996,3996,tog,-16.956303,-0.238780,-16.717522
123,621,621,eth,-12.812115,-0.000002,-12.812113
124,824,824,ern,-13.863195,-0.000005,-13.863190
125,404,404,ess,-12.101523,-0.000002,-12.101522
126,29889,29889,.,-4.887996,-1.233040,-3.654956
